RUN	info.ragozin.loadlab.wp.simulations.RandomPostCommentClose	randompostcommentclose	1558943390150	 	3.1.2
USER	RandomPostCommentClose	1	START	1558943403065	1558943403065
REQUEST	1		/wp/v2/posts?{page} (GET)	1558943403132	1558943403606	OK	 
REQUEST	1		/wp/v2/posts?page/{id} (GET)	1558943403720	1558943403824	OK	 
REQUEST	1		/wp-json/wp/v2/comments (POST)	1558943403829	1558943403902	OK	 
USER	RandomPostCommentClose	1	END	1558943403065	1558943403907
USER	RandomPostCommentClose	2	START	1558943403907	1558943403907
REQUEST	2		/wp/v2/posts?{page} (GET)	1558943403909	1558943404102	OK	 
REQUEST	2		/wp/v2/posts?page/{id} (GET)	1558943404120	1558943404153	OK	 
REQUEST	2		/wp-json/wp/v2/comments (POST)	1558943404158	1558943404219	OK	 
USER	RandomPostCommentClose	2	END	1558943403907	1558943404220
USER	RandomPostCommentClose	3	START	1558943404221	1558943404221
REQUEST	3		/wp/v2/posts?{page} (GET)	1558943404222	1558943404506	OK	 
REQUEST	3		/wp/v2/posts?page/{id} (GET)	1558943404511	1558943404545	OK	 
REQUEST	3		/wp-json/wp/v2/comments (POST)	1558943404546	1558943404624	OK	 
USER	RandomPostCommentClose	3	END	1558943404221	1558943404625
USER	RandomPostCommentClose	4	START	1558943404625	1558943404625
REQUEST	4		/wp/v2/posts?{page} (GET)	1558943404627	1558943404904	OK	 
REQUEST	4		/wp/v2/posts?page/{id} (GET)	1558943404914	1558943404959	OK	 
REQUEST	4		/wp-json/wp/v2/comments (POST)	1558943404960	1558943405025	OK	 
USER	RandomPostCommentClose	4	END	1558943404625	1558943405026
USER	RandomPostCommentClose	5	START	1558943405026	1558943405026
REQUEST	5		/wp/v2/posts?{page} (GET)	1558943405028	1558943405305	OK	 
REQUEST	5		/wp/v2/posts?page/{id} (GET)	1558943405314	1558943405360	OK	 
REQUEST	5		/wp-json/wp/v2/comments (POST)	1558943405362	1558943405430	OK	 
USER	RandomPostCommentClose	5	END	1558943405026	1558943405431
USER	RandomPostCommentClose	6	START	1558943405431	1558943405431
REQUEST	6		/wp/v2/posts?{page} (GET)	1558943405433	1558943405703	OK	 
REQUEST	6		/wp/v2/posts?page/{id} (GET)	1558943405709	1558943405751	OK	 
REQUEST	6		/wp-json/wp/v2/comments (POST)	1558943405752	1558943405826	OK	 
USER	RandomPostCommentClose	6	END	1558943405431	1558943405827
USER	RandomPostCommentClose	7	START	1558943405827	1558943405827
REQUEST	7		/wp/v2/posts?{page} (GET)	1558943405829	1558943406103	OK	 
REQUEST	7		/wp/v2/posts?page/{id} (GET)	1558943406107	1558943406235	OK	 
REQUEST	7		/wp-json/wp/v2/comments (POST)	1558943406236	1558943406324	OK	 
USER	RandomPostCommentClose	7	END	1558943405827	1558943406325
USER	RandomPostCommentClose	8	START	1558943406326	1558943406326
REQUEST	8		/wp/v2/posts?{page} (GET)	1558943406328	1558943406551	OK	 
REQUEST	8		/wp/v2/posts?page/{id} (GET)	1558943406555	1558943406620	OK	 
REQUEST	8		/wp-json/wp/v2/comments (POST)	1558943406621	1558943406708	OK	 
USER	RandomPostCommentClose	8	END	1558943406326	1558943406710
USER	RandomPostCommentClose	9	START	1558943406711	1558943406711
REQUEST	9		/wp/v2/posts?{page} (GET)	1558943406714	1558943406949	OK	 
REQUEST	9		/wp/v2/posts?page/{id} (GET)	1558943406953	1558943407033	OK	 
REQUEST	9		/wp-json/wp/v2/comments (POST)	1558943407034	1558943407135	OK	 
USER	RandomPostCommentClose	9	END	1558943406711	1558943407136
USER	RandomPostCommentClose	10	START	1558943407136	1558943407136
REQUEST	10		/wp/v2/posts?{page} (GET)	1558943407138	1558943407406	OK	 
REQUEST	10		/wp/v2/posts?page/{id} (GET)	1558943407412	1558943407455	OK	 
REQUEST	10		/wp-json/wp/v2/comments (POST)	1558943407455	1558943407537	OK	 
USER	RandomPostCommentClose	10	END	1558943407136	1558943407538
USER	RandomPostCommentClose	11	START	1558943407538	1558943407538
REQUEST	11		/wp/v2/posts?{page} (GET)	1558943407539	1558943407805	OK	 
REQUEST	11		/wp/v2/posts?page/{id} (GET)	1558943407812	1558943407856	OK	 
REQUEST	11		/wp-json/wp/v2/comments (POST)	1558943407857	1558943407925	OK	 
USER	RandomPostCommentClose	11	END	1558943407538	1558943407926
USER	RandomPostCommentClose	12	START	1558943407927	1558943407927
REQUEST	12		/wp/v2/posts?{page} (GET)	1558943407928	1558943408041	OK	 
REQUEST	12		/wp/v2/posts?page/{id} (GET)	1558943408044	1558943408139	OK	 
REQUEST	12		/wp-json/wp/v2/comments (POST)	1558943408140	1558943408225	OK	 
USER	RandomPostCommentClose	12	END	1558943407927	1558943408226
USER	RandomPostCommentClose	13	START	1558943408226	1558943408226
REQUEST	13		/wp/v2/posts?{page} (GET)	1558943408227	1558943408346	OK	 
REQUEST	13		/wp/v2/posts?page/{id} (GET)	1558943408348	1558943408431	OK	 
REQUEST	13		/wp-json/wp/v2/comments (POST)	1558943408432	1558943408536	OK	 
USER	RandomPostCommentClose	13	END	1558943408226	1558943408536
USER	RandomPostCommentClose	14	START	1558943408537	1558943408537
REQUEST	14		/wp/v2/posts?{page} (GET)	1558943408538	1558943408736	OK	 
REQUEST	14		/wp/v2/posts?page/{id} (GET)	1558943408739	1558943408809	OK	 
REQUEST	14		/wp-json/wp/v2/comments (POST)	1558943408810	1558943408843	OK	 
USER	RandomPostCommentClose	14	END	1558943408537	1558943408844
USER	RandomPostCommentClose	15	START	1558943408844	1558943408844
REQUEST	15		/wp/v2/posts?{page} (GET)	1558943408845	1558943409102	OK	 
REQUEST	15		/wp/v2/posts?page/{id} (GET)	1558943409110	1558943409161	OK	 
REQUEST	15		/wp-json/wp/v2/comments (POST)	1558943409162	1558943409232	OK	 
USER	RandomPostCommentClose	15	END	1558943408844	1558943409233
USER	RandomPostCommentClose	16	START	1558943409233	1558943409233
REQUEST	16		/wp/v2/posts?{page} (GET)	1558943409234	1558943409506	OK	 
